config,seed,learning_rate,layer_sizes,final_train_loss,final_train_accuracy,final_train_macro_sensitivity,final_train_macro_specificity,final_train_sensitivity_class_0,final_train_sensitivity_class_1,final_train_sensitivity_class_2,final_train_specificity_class_0,final_train_specificity_class_1,final_train_specificity_class_2,final_val_loss,final_val_accuracy,final_val_macro_sensitivity,final_val_macro_specificity,final_val_sensitivity_class_0,final_val_sensitivity_class_1,final_val_sensitivity_class_2,final_val_specificity_class_0,final_val_specificity_class_1,final_val_specificity_class_2,final_test_loss,final_test_accuracy,final_test_macro_sensitivity,final_test_macro_specificity,final_test_sensitivity_class_0,final_test_sensitivity_class_1,final_test_sensitivity_class_2,final_test_specificity_class_0,final_test_specificity_class_1,final_test_specificity_class_2
small_1_hidden_8_lr_0_001,7,0.001,13 -> 8 -> 3,0.5065506178139731,0.9719626168224299,0.9730018711574445,0.9855324074074074,1.0,0.9534883720930233,0.9655172413793104,0.9722222222222222,0.984375,1.0,0.6060443808137447,0.9444444444444444,0.9523809523809524,0.9722222222222222,1.0,0.8571428571428571,1.0,0.9166666666666666,1.0,1.0,0.5241296519110786,0.9142857142857143,0.9021164021164022,0.9537612146307799,1.0,0.9285714285714286,0.7777777777777778,0.9565217391304348,0.9047619047619048,1.0
small_1_hidden_8_lr_0_001,8,0.001,13 -> 8 -> 3,0.43659910014403025,0.9719626168224299,0.9767441860465116,0.9864672364672366,1.0,0.9302325581395349,1.0,0.9722222222222222,1.0,0.9871794871794872,0.42002247920386776,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.46663094268609595,0.9142857142857143,0.9285714285714285,0.9615384615384616,1.0,0.7857142857142857,1.0,1.0,1.0,0.8846153846153846
small_1_hidden_8_lr_0_001,9,0.001,13 -> 8 -> 3,0.5066906153933802,0.719626168224299,0.6589147286821705,0.8443287037037037,1.0,0.9767441860465116,0.0,0.9861111111111112,0.546875,1.0,0.5201973576555097,0.7222222222222222,0.6666666666666666,0.8484848484848485,1.0,1.0,0.0,1.0,0.5454545454545454,1.0,0.48931640401183807,0.7428571428571429,0.6666666666666666,0.8571428571428571,1.0,1.0,0.0,1.0,0.5714285714285714,1.0
small_1_hidden_8_lr_0_01,0,0.01,13 -> 8 -> 3,0.02071291973640798,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.060158269675970565,0.9722222222222222,0.9666666666666667,0.9848484848484849,1.0,1.0,0.9,1.0,0.9545454545454546,1.0,0.0378461295940625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
small_1_hidden_8_lr_0_01,1,0.01,13 -> 8 -> 3,0.005005074039619451,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12110319029315297,0.9722222222222222,0.9761904761904763,0.9861111111111112,1.0,0.9285714285714286,1.0,0.9583333333333334,1.0,1.0,0.12050519213290722,0.9142857142857143,0.9285714285714285,0.9581939799331104,1.0,0.7857142857142857,1.0,0.9130434782608695,1.0,0.9615384615384616
small_1_hidden_8_lr_0_01,2,0.01,13 -> 8 -> 3,0.004508753623321412,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.028437664935837943,0.9722222222222222,0.9761904761904763,0.9871794871794872,1.0,0.9285714285714286,1.0,1.0,1.0,0.9615384615384616,0.04979471394722861,0.9714285714285714,0.9761904761904763,0.9871794871794872,1.0,0.9285714285714286,1.0,1.0,1.0,0.9615384615384616
small_1_hidden_8_lr_0_01,3,0.01,13 -> 8 -> 3,0.0056566847409535445,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09104770545301763,0.9444444444444444,0.9523809523809524,0.9732905982905984,1.0,0.8571428571428571,1.0,0.9583333333333334,1.0,0.9615384615384616,0.013784250457694101,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
small_1_hidden_8_lr_0_01,4,0.01,13 -> 8 -> 3,0.017752835064858506,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10883959250674596,0.9444444444444444,0.9333333333333332,0.9696969696969697,1.0,1.0,0.8,1.0,0.9090909090909091,1.0,0.018457759330085248,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
small_1_hidden_8_lr_0_01,5,0.01,13 -> 8 -> 3,0.01960375754879308,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.016724208867315866,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08462862977269234,0.9714285714285714,0.9761904761904763,0.9871794871794872,1.0,0.9285714285714286,1.0,1.0,1.0,0.9615384615384616
small_1_hidden_8_lr_0_01,6,0.01,13 -> 8 -> 3,0.0059960022456887405,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07836016799742578,0.9722222222222222,0.9761904761904763,0.9871794871794872,1.0,0.9285714285714286,1.0,1.0,1.0,0.9615384615384616,0.020436107362112,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
small_1_hidden_8_lr_0_01,7,0.01,13 -> 8 -> 3,0.0034716080445894104,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10103817854769327,0.9444444444444444,0.9523809523809524,0.9732905982905984,1.0,0.8571428571428571,1.0,0.9583333333333334,1.0,0.9615384615384616,0.036782861036913535,0.9714285714285714,0.9629629629629629,0.9841269841269842,1.0,1.0,0.8888888888888888,1.0,0.9523809523809523,1.0
